PANEL_ID,NAME,ZONE,DESIGN_FUNCTION,BOUNDARY_REASON,DONOR_INTERFACE,MOUNTING,REMOVABLE,FLANGE,INTERLOCK,THICKNESS,PRINT_ORIENTATION,SPLIT_STRATEGY,SUPPORT,TRIM_ALLOWANCE_MM,ASSEMBLY_STEP,INSTALL_VECTOR,ACCESS,SHAPE_DRIVER,INTERFACE_CLASS,SCAN_STATUS,READINESS,RISK,STATUS
P33,ENGINE_COVER_LOUVRES,REAR,"functional louvres, one common vanishing direction",our louvres; the engine lid aperture governs where they can sit,"engine lid aperture and hinge, engine bay top surface — how low the louvred panel can sit, heat map: where the hot air actually needs to leave","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","prints flat, one piece per bank","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",6,18,-Z,removable as a bank for engine access,MIXED,C,RED,BLOCKED,HIGH,"PROPOSED, not approved"
P21,REAR_FASCIA,REAR,rear fascia; the light bar cuts the tail in two,our rear form,"rear bumper mounting points and crash structure, exhaust hanger positions",bolts through flange into donor threads. Positions SCAN REQUIRED.,yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",splits at the centreline and outboard of the bar,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",15,19,-X,off for exhaust and light access,OURS,C,YELLOW,READY NOW,LOW,"PROPOSED, not approved"
P34,REAR_CENTRE_MASK,REAR,dark centre mask carrying the lettering,our centre mask between the light bar and the diffuser,"rear bumper mounting points and crash structure, exhaust hanger positions","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",8,20,-X,off with the fascia,OURS,C,YELLOW,READY NOW,LOW,"PROPOSED, not approved"
P36,PLATE_RECESS,REAR,plate recess and its lamp; legal requirement,"our recess; the plate size is legislated, not donor","rear bumper mounting points and crash structure, exhaust hanger positions","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",8,21,-X,lamp must be serviceable,OURS,C,YELLOW,READY NOW,LOW,"PROPOSED, not approved"
P22,DIFFUSER,REAR,"large functional diffuser, few large fins",our diffuser; only its top edge meets the donor floor,"underbody and rear subframe, exhaust routing and silencer position, how low a fin can go before it is the first thing to ground out",bolts through flange into donor threads. Positions SCAN REQUIRED.,yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",splits between fin roots,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",15,22,-X,first thing to ground out; replaceable alone,OURS,C,RED,READY NOW,MEDIUM,"PROPOSED, not approved"
P35,EXHAUST_SURROUND,REAR,surround for exactly two central tips; sees exhaust heat,our surround around bought tips; sees exhaust heat,"rear bumper mounting points and crash structure, exhaust hanger positions","mechanical only, no adhesive near the heat. SCAN REQUIRED for hanger positions.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",10,23,-X,off with the exhaust,OURS,C,YELLOW,READY NOW,LOW,"PROPOSED, not approved"
P23,REAR_SPOILER,REAR,integrated ducktail lip growing from the deck,our ducktail,the rear deck surface it grows out of — blocked behind REAR_DECK,"bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",splits at the centreline,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",10,24,-Z,off without disturbing the deck,OURS,C,RED,BLOCKED,HIGH,"PROPOSED, not approved"
P24,HEADLIGHT_HOUSING_L,LIGHTS,housing for a bought E-marked module,housing around a bought E-marked module; the module is fixed,"the front structure the housing bolts to, beam aim check on the real car","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",6,25,+X,module replaceable from behind,OURS,C,YELLOW,READY NOW,LOW,"PROPOSED, not approved"
P25,HEADLIGHT_HOUSING_R,LIGHTS,housing for a bought E-marked module,housing around a bought E-marked module; the module is fixed,"the front structure the housing bolts to, beam aim check on the real car","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",6,25,+X,module replaceable from behind,OURS,C,YELLOW,READY NOW,LOW,"PROPOSED, not approved"
P26,TAIL_HOUSING_L,LIGHTS,housing for a bought E-marked module,housing around a bought E-marked module; the module is fixed,the rear panel it mounts into — comes with REAR_FASCIA,"bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",6,26,-X,module replaceable from behind,OURS,C,YELLOW,READY NOW,LOW,"PROPOSED, not approved"
P27,TAIL_HOUSING_R,LIGHTS,housing for a bought E-marked module,housing around a bought E-marked module; the module is fixed,the rear panel it mounts into — comes with REAR_FASCIA,"bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",6,26,-X,module replaceable from behind,OURS,C,YELLOW,READY NOW,LOW,"PROPOSED, not approved"
